,model_name,type,url,entities,multilingual,dataset,data_url,framework
0,mrm8488/bert-tiny-finetuned-yahoo_answers_topics,token,https://huggingface.co/cardiffnlp/mrm8488/bert-tiny-finetuned-yahoo_answers_topics,,F,yahoo_answers_topics,,pytorch
1,jonaskoenig/topic_classification_03,token,https://huggingface.co/cardiffnlp/jonaskoenig/topic_classification_03,,F,yahoo_answers_topics,,TF
2,jonaskoenig/topic_classification_04,token,https://huggingface.co/cardiffnlp/jonaskoenig/topic_classification_04,,F,yahoo_answers_topics,,TF
3,jonaskoenig/topic_classification_01,token,https://huggingface.co/cardiffnlp/jonaskoenig/topic_classification_01,,F,yahoo_answers_topics,,TF
4,ebrigham/yahoo_answers_topics_classifier,https://huggingface.co/ebrigham/yahoo_answers_topics_classifier,,F,yahoo_answers_topics,,pytorch
